tweet_id,tweet_url,tweet_text,class_label,image_path,image_url
1262390826312794112,http://twitter.com/user/status/1262390826312794112,#عاجل | شركة موديرنا الأمريكية تعلن نجاح التجارب السريرية الأولى التي تجريها على لقاح مضاد لفيروس #كورونا #جريدة_الراية | #لأجل_قطر_كلنا_في_البيت https://t.co/DHsVCApFuE,Yes,data_image/18_5_2020/1262390826312794112_0.jpg,http://pbs.twimg.com/ext_tw_video_thumb/1262390792611672070/pu/img/F8RlVexQ6vQkrOZu.jpg
1242765328490299392,https://twitter.com/user/status/1242765328490299392,تلفزيون بريطاني: تشخيص إصابة ولي عهد المملكة المتحدة الأمير #تشارلز بفيروس #كورونا #فيروس_كورونا_المستجدّ https://t.co/CnEa4zDUY8,Yes,data_image_ct21-ar/25_3_2020/1242765328490299392_0.jpg,http://pbs.twimg.com/media/ET8wZTJXYAA3Y_A.jpg
1242183102736273408,https://twitter.com/user/status/1242183102736273414,#ﻟﻠﻘﺼﺔ_ﺑﻘﻴﺔ | ﻣﻘﺪﻣﺔ حلقة العالم في زمن #الكورونا ﻣﻊ @FayrouzZiani #كورونا.. النزيف لا يتوقف وسباق للحد من تفشي الوباء https://t.co/LdOFsfSCV1,No,data_image_ct21-ar/23_3_2020/1242183102736273414_0.jpg,http://pbs.twimg.com/amplify_video_thumb/1242182414333628417/img/fbE2K51BMnZnj0kx.jpg
1346170505485803520,https://twitter.com/alaraby_ar/status/1346170505485803521,دام خليجُنا في ألفة ومحبة، وأفراح ووئام .. حفظ الله الخليج قيادةً وشعباً من كل مكروه وسوء، وكيد المتربصين والمغرضين. 🇴🇲🇸🇦🇰🇼🇧🇭🇶🇦🇦🇪 #المصالحه_الخليجية #القمة_الخليجية_الـ41 https://t.co/iRLBNASJwt,No,data_image_ct21-ar/4_1_2021/1346170505485803521_0.jpg,http://pbs.twimg.com/media/Eq6O39jXMAEhuFT.jpg
1229268660562296832,https://twitter.com/user/status/1229268660562296832,#سفيه_الدوحه_وجزيه_المرتزقه اشتم السعودية اكثر يدفع لك بهيمة قطر اكثر https://t.co/Toe6Dtz4W3,No,data_image_ct21-ar/17_2_2020/1229268660562296832_0.jpg,http://pbs.twimg.com/media/EQ89U5zWAAALDb3.jpg
1221444805760339968,https://twitter.com/user/status/1221444805760339968,صادق دويد: سقطت كل رهانات الواهمين وأثبتت الحقائق والوقائع أن خطر الحوثي يهددحاضر ومستقبل اليمن ودول المنطقة. وفي هذه المعركة المفصلية فإن من يعتبر أن الحوثي خطر مؤجل ويختلق معارك أخرى فهو يغرد خارج السرب،وعليه أن يعيد حساباته،لأن الحوثيين ومن خلفهم إيران هو الخطر الذي يهددالجميع https://t.co/ldDAQBT1qJ,Yes,data_image_ct21-ar/26_1_2020/1221444805760339968_0.jpg,http://pbs.twimg.com/media/EPNxkeuXkAMuk-z.jpg
1290618203090169856,http://twitter.com/user/status/1290618203090169861,"شركة ""ووكهارت"" الهندية لصناعة الأدوية تعاقدت مع #بريطانيا على توريد ملايين الجرعات من لقاحات متعددة لفيروس #كورونا #العربية https://t.co/06Nr7FF5Ad",No,data_image/4_8_2020/1290618203090169861_0.png,http://pbs.twimg.com/media/EekyaNVXsAAyH54.png
1293242289465286656,http://twitter.com/user/status/1293242289465286656,فيديو غرافيك - روسيا تكشف عن أول لقاح ضد #كورونا https://t.co/HF24eZU3Xl https://t.co/8EZ63TmHnX,No,data_image/11_8_2020/1293242289465286656_0.jpg,http://pbs.twimg.com/ext_tw_video_thumb/1293239305826177024/pu/img/aGLxYwXsdXGMQeC9.jpg
1225188856997257216,https://twitter.com/user/status/1225188856997257216,مجلس الوزراء اكد على عدم علم حمدوك بلقاء البرهان ورئيس الوزراء الاسرائيلي بنيامين نتنياهو . #لقاء_البرهان_ونتنياهو https://t.co/3tr79k9Vdj,Yes,data_image_ct21-ar/5_2_2020/1225188856997257216_0.jpg,http://pbs.twimg.com/media/EQC-ujdX0AA870C.jpg
1225511991764246528,https://twitter.com/user/status/1225511991764246529,تاني يا #السيسي كفاية بقى تشغل الاسطوانة المشروخة دي ده مات في #ليبيا و هو بيحارب مع #حفتر https://t.co/54e7KYmuxk,No,data_image_ct21-ar/6_2_2020/1225511991764246529_0.jpg,http://pbs.twimg.com/media/EQHkpXYXUAEouNB.jpg
